"id,N,11,0","id_invoice,N,16,0","type_doc,C,3","name_doc,C,50","data_doc,D","blank_cod,C,6","seria,C,2","numdoc,C,128","descript_d,C,150","n_plat_t,C,10"
68520,75000,609,,28.04.2017,,,90341670,,
68521,75001,609,,25.05.2017,,,22660-17,,
68522,75002,609,,09.05.2017,,,2001673517,,
68523,75003,609,,09.05.2017,,,2001674036,,
68524,75004,609,,08.05.2017,,,2001673225,,
68525,75005,609,,18.05.2017,,,993028252,,
68526,75006,609,,29.04.2017,,,BY2017-260,,
68527,75007,609,,08.05.2017,,,2001673361,,
68528,75008,609,,22.05.2017,,,0037/МА/20,,
68529,75009,609,,17.05.2017,,,4331343435,,
68530,75010,609,,04.01.2017,,,ATLPU20170,,
68531,75011,609,,26.05.2017,,,2001682595,,
68532,75012,609,,26.04.2017,,,2017-21042,,
68533,75013,609,,21.04.2017,,,2001665535,,
68534,75014,609,,28.04.2017,,,21042021,,
68535,75015,609,,15.05.2017,,,8110/16685,,
68536,75016,609,,27.04.2017,,,2001668731,,
68537,75017,609,,18.05.2017,,,993028255,,
68538,75018,609,,25.04.2017,,,174164,,
68539,75019,609,,23.05.2017,,,006062,,
68540,75020,609,,15.05.2017,,,ВР17/00131,,
68541,75021,609,,04.05.2017,,,20.561,,
68542,75022,609,,16.05.2017,,,230385,,
68543,75023,609,,15.05.2017,,,VKR17/895,,
68544,75024,609,,12.05.2017,,,2001676345,,
68545,75025,609,,29.04.2017,,,BY2017-270,,
68546,75026,609,,15.05.2017,,,187,,
68547,75027,609,,19.05.2017,,,3012023768,,
68548,75028,609,,27.04.2017,,,2001668814,,
68549,75029,609,,28.04.2017,,,STB19213,,
68550,75030,609,,25.04.2017,,,90340137,,
68551,75031,609,,11.05.2017,,,17,,
68552,75032,609,,25.03.2017,,,NCI-YDM-17,,
68553,75033,609,,17.05.2017,,,2001678320,,
68554,75034,609,,11.05.2017,,,2001675435,,
68555,75035,609,,20.03.2017,,,17PX-11512,,
68556,75036,609,,05.05.2017,,,АТ-8,,
68557,75037,609,,27.04.2017,,,993025627,,
68558,75038,609,,27.04.2017,,,87165385,,
68559,75039,609,,03.05.2017,,,2001671270,,
68560,75040,609,,27.04.2017,,,220/110128,,
68561,75041,609,,02.05.2017,,,14,,
68562,75042,609,,10.05.2017,,,90344348,,
68563,75043,609,,19.05.2017,,,АТ- 12,,
68564,75044,609,,30.04.2017,,,200030,,
68565,75045,609,,31.03.2017,,,3811,,
68566,75046,609,,15.05.2017,,,АТ- 11,,
68567,75047,609,,26.05.2017,,,2001682445,,
68568,75048,609,,25.04.2017,,,3018023178,,
68569,75049,609,,27.04.2017,,,20.525,,
68570,75050,609,,02.05.2017,,,3018023379,,
68571,75051,609,,30.05.2017,,,993029698,,
68572,75052,609,,10.05.2017,,,7043516757,,
68573,75053,609,,24.05.2017,,,993029057,,
68574,75054,609,,16.05.2017,,,22513-17,,
68575,75055,609,,18.05.2017,,,22529-17,,
68576,75056,609,,01.06.2017,,,22817-17,,
68577,75057,609,,22.05.2017,,,0031/МА/20,,
68578,75058,609,,02.06.2017,,,PL/2017/32,,
68579,75059,609,,30.05.2017,,,174180,,
68580,75060,609,,25.05.2017,,,22671-17,,
68581,75061,609,,30.05.2017,,,174181,,
68582,75062,609,,25.04.2017,,,20170425,,
68583,75063,609,,28.04.2017,,,20170428AT,,
68584,75064,609,,26.05.2017,,,993029386,,
68585,75065,609,,03.05.2017,,,YUMI201705,,
68586,75066,609,,26.05.2017,,,0000838,,
68587,75067,609,,31.05.2017,,,3038003337,,
68588,75068,609,,31.05.2017,,,3038003338,,
68589,75069,609,,30.05.2017,,,7021495329,,
68590,75070,609,,29.05.2017,,,26025737,,
68591,75071,609,,26.05.2017,,,22695-17,,
68592,75072,609,,02.06.2017,,,0000893,,
68593,75073,609,,30.05.2017,,,174182,,
